Card_Name,Rarity,RH?,Number,Market Price,Listed Median,Adjusted Price,Slot 1 (Common),Slot 2 (Common),Slot 3 (Common),Slot 4 (Common),Slot 5 (Common),Slot 6 (Uncommon),Slot 7 (Uncommon),Slot 8 (Uncommon),Slot 9 (Radiant/TG/RH),Slot 10 (Rare+),Slot 11 (Code)
Hisuian Samurott VSTAR (Secret),Rainbow Rare,No,197/189,$5.60 ,—,$6.16 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Origin Forme Dialga VSTAR - 198/189 (Secret),Rainbow Rare,No,198/189,$11.08 ,—,$12.19 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Adaman (Secret),Rainbow Rare,No,199/189,$3.79 ,—,$4.17 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Choy (Secret),Rainbow Rare,No,200/189,$3.66 ,—,$4.03 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Cyllene (Secret),Rainbow Rare,No,201/189,$4.83 ,—,$5.31 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Gardenia's Vigor (Secret),Rainbow Rare,No,202/189,$5.19 ,—,$5.71 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Grant (Secret),Rainbow Rare,No,203/189,$2.94 ,—,$3.23 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Irida (Secret),Rainbow Rare,No,204/189,$11.48 ,—,$12.63 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Kamado (Secret),Rainbow Rare,No,205/189,$3.82 ,—,$4.20 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Roxanne (Secret),Rainbow Rare,No,206/189,$5.84 ,—,$6.42 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Zisu (Secret),Rainbow Rare,No,207/189,$3.68 ,—,$4.05 ,0,0,0,0,0,0,0,0,0,0.000711111,0
Origin Forme Palkia VSTAR (Secret) (208),Gold Rare,No,208/189,$8.70 ,—,$9.57 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Hisuian Samurott VSTAR (Secret) (209),Gold Rare,No,209/189,$4.85 ,—,$5.34 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Origin Forme Dialga VSTAR - 210/189 (Secret),Gold Rare,No,210/189,$10.54 ,—,$11.59 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Choice Belt (Secret),Gold Rare,No,211/189,$8.61 ,—,$9.47 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Jubilife Village (Secret),Gold Rare,No,212/189,$4.19 ,—,$4.61 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Path to the Peak (Secret),Gold Rare,No,213/189,$21.59 ,—,$23.75 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Temple of Sinnoh (Secret),Gold Rare,No,214/189,$11.12 ,—,$12.23 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Trekking Shoes (Secret),Gold Rare,No,215/189,$10.26 ,—,$11.29 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Double Turbo Energy (Secret),Gold Rare,No,216/189,$20.44 ,—,$22.48 ,0,0,0,0,0,0,0,0,0,0.000844444,0
Abomasnow,Trainer Gallery Non-V Pokemon,No,TG01/TG30,$0.69 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Flapple,Trainer Gallery Non-V Pokemon,No,TG02/TG30,$0.78 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Kingdra,Trainer Gallery Non-V Pokemon,No,TG03/TG30,$1.28 ,—,$1.41 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Frosmoth,Trainer Gallery Non-V Pokemon,No,TG04/TG30,$0.79 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Gardevoir,Trainer Gallery Non-V Pokemon,No,TG05/TG30,$3.60 ,—,$3.96 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Wyrdeer,Trainer Gallery Non-V Pokemon,No,TG06/TG30,$0.64 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Falinks,Trainer Gallery Non-V Pokemon,No,TG07/TG30,$0.90 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Kleavor,Trainer Gallery Non-V Pokemon,No,TG08/TG30,$0.66 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Mightyena,Trainer Gallery Non-V Pokemon,No,TG09/TG30,$0.72 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Galarian Obstagoon,Trainer Gallery Non-V Pokemon,No,TG10/TG30,$0.65 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Bronzong,Trainer Gallery Non-V Pokemon,No,TG11/TG30,$0.78 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Hoothoot,Trainer Gallery Non-V Pokemon,No,TG12/TG30,$0.67 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.007066667,0,0
Starmie V,"Trainer Gallery V, VMAX, or Trainer",No,TG13/TG30,$46.94 ,—,$51.63 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Ice Rider Calyrex V,"Trainer Gallery V, VMAX, or Trainer",No,TG14/TG30,$3.39 ,—,$3.73 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Ice Rider Calyrex VMAX,"Trainer Gallery V, VMAX, or Trainer",No,TG15/TG30,$3.57 ,—,$3.93 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Galarian Articuno V,"Trainer Gallery V, VMAX, or Trainer",No,TG16/TG30,$4.49 ,—,$4.94 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Shadow Rider Calyrex V,"Trainer Gallery V, VMAX, or Trainer",No,TG17/TG30,$3.85 ,—,$4.24 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Shadow Rider Calyrex VMAX,"Trainer Gallery V, VMAX, or Trainer",No,TG18/TG30,$4.62 ,—,$5.08 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Galarian Zapdos V,"Trainer Gallery V, VMAX, or Trainer",No,TG19/TG30,$4.73 ,—,$5.20 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Galarian Moltres V,"Trainer Gallery V, VMAX, or Trainer",No,TG20/TG30,$6.31 ,—,$6.94 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Zacian V,"Trainer Gallery V, VMAX, or Trainer",No,TG21/TG30,$6.15 ,—,$6.77 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Zamazenta V,"Trainer Gallery V, VMAX, or Trainer",No,TG22/TG30,$2.64 ,—,$2.90 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Garchomp V,"Trainer Gallery V, VMAX, or Trainer",No,TG23/TG30,$20.71 ,—,$22.78 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Allister,"Trainer Gallery V, VMAX, or Trainer",No,TG24/TG30,$2.42 ,—,$2.66 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Bea,"Trainer Gallery V, VMAX, or Trainer",No,TG25/TG30,$3.98 ,—,$4.38 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Melony,"Trainer Gallery V, VMAX, or Trainer",No,TG26/TG30,$4.16 ,—,$4.58 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Milo,"Trainer Gallery V, VMAX, or Trainer",No,TG27/TG30,$1.47 ,—,$1.62 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Piers,"Trainer Gallery V, VMAX, or Trainer",No,TG28/TG30,$1.80 ,—,$1.98 ,0,0,0,0,0,0,0,0,0.001999454,0,0
Ice Rider Calyrex VMAX (Secret),Trainer Gallery Gold-and-Black VMAX,No,TG29/TG30,$2.20 ,—,$2.42 ,0,0,0,0,0,0,0,0,0.00450437,0,0
Shadow Rider Calyrex VMAX (Secret),Trainer Gallery Gold-and-Black VMAX,No,TG30/TG30,$1.74 ,—,$1.91 ,0,0,0,0,0,0,0,0,0.00450437,0,0
Code Card - Astral Radiance Booster Pack,Code Card,No,,$0.06 ,$0.07 ,$0.10 ,0,0,0,0,0,0,0,0,0,0,1
Hisuian Voltorb,Common_RH,Yes,RH_002/189,$0.04 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Electrode,Uncommon_RH,Yes,RH_003/189,$0.06 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Scyther (004),Common_RH,Yes,RH_004/189,$0.04 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Scyther (005),Common_RH,Yes,RH_005/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Yanma,Common_RH,Yes,RH_006/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Yanmega,Uncommon_RH,Yes,RH_007/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Heracross,Common_RH,Yes,RH_008/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kricketot,Common_RH,Yes,RH_009/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kricketune,Uncommon_RH,Yes,RH_010/189,$0.04 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Combee,Common_RH,Yes,RH_011/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Vespiquen,Rare_RH,Yes,RH_012/189,$0.06 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Leafeon,Rare_RH,Yes,RH_013/189,$0.15 ,$0.20 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Shaymin,Rare_RH,Yes,RH_014/189,$0.09 ,$0.12 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Petilil,Common_RH,Yes,RH_015/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Lilligant,Rare_RH,Yes,RH_016/189,$0.19 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Rowlet,Common_RH,Yes,RH_019/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Dartrix,Uncommon_RH,Yes,RH_020/189,$0.03 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Ponyta,Common_RH,Yes,RH_021/189,$0.03 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Rapidash,Rare_RH,Yes,RH_022/189,$0.08 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Cyndaquil,Common_RH,Yes,RH_023/189,$0.04 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Quilava,Uncommon_RH,Yes,RH_024/189,$0.03 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Psyduck,Common_RH,Yes,RH_028/189,$0.03 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Golduck,Uncommon_RH,Yes,RH_029/189,$0.03 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Swinub,Common_RH,Yes,RH_031/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Piloswine,Uncommon_RH,Yes,RH_032/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Mamoswine,Rare_RH,Yes,RH_033/189,$0.08 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Mantine,Common_RH,Yes,RH_034/189,$0.02 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Barboach,Common_RH,Yes,RH_035/189,$0.04 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Whiscash,Uncommon_RH,Yes,RH_036/189,$0.04 ,$0.09 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Regice,Rare_RH,Yes,RH_037/189,$0.12 ,$0.19 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Glaceon,Rare_RH,Yes,RH_038/189,$0.15 ,$0.20 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Oshawott,Common_RH,Yes,RH_041/189,$0.04 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Dewott,Uncommon_RH,Yes,RH_042/189,$0.02 ,$0.09 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Basculin,Common_RH,Yes,RH_043/189,$0.03 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Basculegion,Rare_RH,Yes,RH_044/189,$0.07 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Keldeo,Rare_RH,Yes,RH_045/189,$0.16 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Bergmite,Common_RH,Yes,RH_047/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Avalugg,Rare_RH,Yes,RH_048/189,$0.06 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Regieleki,Rare_RH,Yes,RH_051/189,$0.10 ,$0.16 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Typhlosion,Rare_RH,Yes,RH_052/189,$0.29 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Togepi,Common_RH,Yes,RH_055/189,$0.05 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Togetic,Uncommon_RH,Yes,RH_056/189,$0.05 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Togekiss,Rare_RH,Yes,RH_057/189,$0.24 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Misdreavus,Common_RH,Yes,RH_058/189,$0.03 ,$0.07 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Mismagius,Rare_RH,Yes,RH_059/189,$0.06 ,$0.11 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Ralts,Common_RH,Yes,RH_060/189,$0.19 ,$0.25 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kirlia,Uncommon_RH,Yes,RH_061/189,$0.03 ,$0.07 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Gallade,Rare_RH,Yes,RH_062/189,$0.56 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Drifloon,Common_RH,Yes,RH_063/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Drifblim,Uncommon_RH,Yes,RH_064/189,$0.04 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Uxie,Uncommon_RH,Yes,RH_065/189,$0.04 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Mesprit,Rare_RH,Yes,RH_066/189,$0.17 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Azelf,Uncommon_RH,Yes,RH_067/189,$0.02 ,$0.09 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Diancie,Rare_RH,Yes,RH_068/189,$0.31 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Wyrdeer,Rare_RH,Yes,RH_069/189,$0.22 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Growlithe,Common_RH,Yes,RH_070/189,$0.04 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Arcanine,Rare_RH,Yes,RH_071/189,$0.12 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Sudowoodo,Common_RH,Yes,RH_074/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Regirock,Rare_RH,Yes,RH_075/189,$0.12 ,$0.19 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Cranidos,Uncommon_RH,Yes,RH_076/189,$0.04 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Rampardos,Rare_RH,Yes,RH_077/189,$0.27 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hippopotas,Common_RH,Yes,RH_079/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hippowdon,Uncommon_RH,Yes,RH_080/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Decidueye,Rare_RH,Yes,RH_082/189,$0.18 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kleavor (85),Rare_RH,Yes,RH_085/189,$0.08 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kleavor (86),Rare_RH,Yes,RH_086/189,$0.20 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Qwilfish (88),Common_RH,Yes,RH_088/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Qwilfish (89),Common_RH,Yes,RH_089/189,$0.05 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Overqwil (90),Uncommon_RH,Yes,RH_090/189,$0.05 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Overqwil (91),Rare_RH,Yes,RH_091/189,$0.07 ,$0.14 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Sneasel,Common_RH,Yes,RH_092/189,$0.05 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Sneasler,Rare_RH,Yes,RH_093/189,$0.22 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Poochyena,Common_RH,Yes,RH_095/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Mightyena,Rare_RH,Yes,RH_096/189,$0.10 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Absol,Rare_RH,Yes,RH_097/189,$0.24 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Samurott,Rare_RH,Yes,RH_100/189,$0.21 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Nickit,Common_RH,Yes,RH_103/189,$0.04 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Thievul,Rare_RH,Yes,RH_104/189,$0.09 ,$0.13 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Magnemite,Common_RH,Yes,RH_105/189,$0.05 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Magneton,Uncommon_RH,Yes,RH_106/189,$0.05 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Magnezone,Rare_RH,Yes,RH_107/189,$0.32 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Registeel,Rare_RH,Yes,RH_108/189,$0.09 ,$0.16 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Shieldon,Uncommon_RH,Yes,RH_109/189,$0.05 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Bastiodon,Rare_RH,Yes,RH_110/189,$0.17 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Bronzor,Common_RH,Yes,RH_111/189,$0.01 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Bronzong,Uncommon_RH,Yes,RH_112/189,$0.03 ,$0.07 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Pawniard,Common_RH,Yes,RH_115/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Bisharp,Uncommon_RH,Yes,RH_116/189,$0.02 ,$0.07 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Regidrago,Rare_RH,Yes,RH_118/189,$0.10 ,$0.20 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Eevee,Common_RH,Yes,RH_119/189,$0.08 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hoothoot,Common_RH,Yes,RH_120/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Noctowl,Uncommon_RH,Yes,RH_121/189,$0.07 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Teddiursa,Common_RH,Yes,RH_122/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Ursaring,Uncommon_RH,Yes,RH_123/189,$0.04 ,$0.06 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Ursaluna,Rare_RH,Yes,RH_124/189,$0.09 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Stantler,Common_RH,Yes,RH_125/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Miltank,Rare_RH,Yes,RH_126/189,$0.26 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Glameow,Common_RH,Yes,RH_127/189,$0.02 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Purugly,Uncommon_RH,Yes,RH_128/189,$0.06 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Chatot,Common_RH,Yes,RH_129/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Regigigas,Rare_RH,Yes,RH_130/189,$0.30 ,—,$1.00 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Rufflet,Common_RH,Yes,RH_131/189,$0.03 ,$0.05 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Braviary,Rare_RH,Yes,RH_132/189,$0.08 ,$0.15 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Adaman,Rare_RH,Yes,RH_135/189,$0.25 ,—,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Canceling Cologne,Uncommon_RH,Yes,RH_136/189,$0.10 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Choy,Uncommon_RH,Yes,RH_137/189,$0.02 ,$0.09 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Cyllene,Uncommon_RH,Yes,RH_138/189,$0.07 ,$0.13 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Dark Patch,Uncommon_RH,Yes,RH_139/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Energy Loto,Uncommon_RH,Yes,RH_140/189,$0.07 ,$0.13 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Feather Ball,Uncommon_RH,Yes,RH_141/189,$0.09 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Gapejaw Bog,Uncommon_RH,Yes,RH_142/189,$0.10 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Gardenia's Vigor,Uncommon_RH,Yes,RH_143/189,$0.07 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Grant,Uncommon_RH,Yes,RH_144/189,$0.06 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Gutsy Pickaxe,Uncommon_RH,Yes,RH_145/189,$0.08 ,$0.15 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Hisuian Heavy Ball,Uncommon_RH,Yes,RH_146/189,$0.14 ,$0.25 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Irida,Rare_RH,Yes,RH_147/189,$1.53 ,—,$1.97 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Jubilife Village,Uncommon_RH,Yes,RH_148/189,$0.05 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Kamado,Uncommon_RH,Yes,RH_149/189,$0.02 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Roxanne,Uncommon_RH,Yes,RH_150/189,$0.08 ,$0.20 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Spicy Seasoned Curry,Uncommon_RH,Yes,RH_151/189,$0.02 ,$0.08 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Supereffective Glasses,Uncommon_RH,Yes,RH_152/189,$0.07 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Sweet Honey,Uncommon_RH,Yes,RH_153/189,$0.05 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Switch Cart,Uncommon_RH,Yes,RH_154/189,$0.93 ,$1.00 ,$1.33 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Temple of Sinnoh,Uncommon_RH,Yes,RH_155/189,$0.18 ,$0.25 ,$0.50 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Trekking Shoes,Uncommon_RH,Yes,RH_156/189,$0.08 ,$0.20 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Unidentified Fossil,Uncommon_RH,Yes,RH_157/189,$0.06 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Wait and See Turbo,Uncommon_RH,Yes,RH_158/189,$0.02 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
Zisu,Uncommon_RH,Yes,RH_159/189,$0.03 ,$0.10 ,$0.25 ,0,0,0,0,0,0,0,0,0.006448438,0,0
